#省份    IP              程序运行状态      数据库状态      数据库数据      探针文件          数据库文件生成 
BJ       10.224.183.11   YES               YES             YES             YES               YES                  
NMG      10.225.183.11   YES               YES             YES             YES               YES                  
XZ       10.226.183.11   YES               YES             YES             NO                NO                   
CQ       10.227.183.11   YES               YES             YES             NO                NO                   
SC       10.228.183.11   YES               YES             YES             YES               YES                  
NX       10.229.183.11   YES               YES             YES             YES               YES                  
SX       10.230.183.11   YES               YES             YES             YES               YES                  
HEB      10.231.183.11   YES               YES             YES             YES               YES                  
GS       10.232.183.11   YES               YES             YES             YES               YES                  
LN       10.233.183.11   YES               YES             YES             YES               YES                  
QH       10.234.183.11   YES               YES             YES             YES               YES                  
SB       10.235.183.11   YES               NO              NULL            NO                NO                   
HLJ      10.236.183.11   YES               YES             YES             NO                NO                   
JL       10.237.183.11   YES               YES             YES             YES               YES                  
TJ       10.238.183.11   YES               YES             YES             YES               YES                  
XJ       10.239.183.11   YES               YES             YES             YES               YES                  
SH       10.240.183.11   YES               YES             YES             NO                NO                   
JS       10.241.183.11   YES               YES             NO              NO                YES                  
HEN      10.242.183.11   YES               YES             NO              YES               YES                  
AH       10.243.183.11   YES               YES             YES             YES               YES                  
ZJ       10.244.183.11   YES               YES             NO              NO                NO                   
SD       10.245.183.11   YES               YES             NO              YES               YES                  
GD       10.246.183.11   YES               YES             YES             YES               YES                  
HUB      10.247.183.11   YES               YES             YES             YES               YES                  
YN       10.248.183.11   YES               YES             YES             YES               YES                  
GZ       10.249.183.11   YES               YES             NO              NO                NO                   
HUN      10.250.183.11   YES               YES             NO              NO                NO                   
JX       10.251.183.11   YES               YES             YES             YES               YES                  
HAIN     10.252.183.11   YES               YES             YES             YES               YES                  
GX       10.253.183.11   YES               YES             YES             YES               YES                  
FJ       10.254.183.11   YES               YES             YES             YES               YES                  
