#省份      运营商     日志上传   日志条数   账号总数   在线数     来源       拨号服务器  
AH         LT         YES        4776       199        188        IPFY       10.152.81.2 
AH         DX         YES        5331       198        197        IPFY       10.152.81.3 
ZJ         LT         YES        5530       198        168        IPFY       10.153.81.2 
ZJ         DX         YES        4699       197        1          IPFY       10.153.81.3 
GX         LT         YES        4983       198        72         IPFY       10.161.81.2 
GX         DX         YES        5212       198        76         IPFY       10.161.81.3 
CQ         LT         YES        5721       198        85         IPFY       10.137.81.2 
CQ         DX         YES        5571       198        145        IPFY       10.137.81.3 
HUN        LT         YES        4486       198        78         IPFY       10.158.81.2 
HUN        DX         YES        5740       198        197        IPFY       10.158.81.3 
HUB        LT         YES        889        198        116        IPFY       10.155.81.2 
HUB        DX         YES        5407       197        84         IPFY       10.155.81.3 
HEN        LT         YES        5032       197        117        IPFY       10.151.81.2 
HEB        LT         YES        5465       198        85         IPFY       10.141.81.2 
FJ         LT         YES        689        198        10         IPFY       10.162.81.2 
FJ         DX         YES        5610       200        81         IPFY       10.162.81.3 
GZ         LT         YES        5659       198        192        IPFY       10.157.81.2 
XJ         LT         YES        10043      201        72         IPFY       10.149.81.2 
SB         LT         NO         10043      197        NULL       IPFY       10.145.81.2 
SB         DX         YES        3391       198        59         IPFY       10.145.81.3 
TJ         LT         YES        5680       198        82         IPFY       10.148.81.2 
JX         DX         YES        5880       210        85         IPFY       10.159.81.3 
JS         LT         NO         5880       200        NULL       IPFY       10.150.81.2 
HAIN       LT         YES        5889       198        85         IPFY       10.160.81.2 
HAIN       DX         YES        5922       210        209        IPFY       10.160.81.3 
GS         DX         YES        1142       198        15         IPFY       10.142.81.3 
NMG        LT         YES        5813       198        170        IPFY       10.135.81.2 
HLJ        LT         YES        5817       198        84         IPFY       10.146.81.2 
GD         LT         YES        530        198        117        IPFY       10.164.81.2 
NX         DX         YES        5873       198        85         IPFY       10.139.81.3 
SD         LT         YES        5610       198        81         IPFY       10.154.81.2 
SX         LT         YES        5988       198        180        IPFY       10.140.81.2 
JL         LT         YES        5620       198        143        IPFY       10.147.81.2 
QH         LT         YES        3665       198        53         IPFY       10.144.81.2 
BJ         LT         YES        5192       188        75         IPFY       10.134.81.1 
YN         DX         YES        324        198        119        IPFY       10.156.81.3 
LN         LT         YES        5211       198        75         IPFY       10.143.81.2 
SC         LT         NO         5211       199        NULL       IPFY       10.138.81.2 
HEN        DX         YES        6968       199        139        rog        10.170.151.1 
HEB        DX         YES        17179      199        171        rog        10.170.141.1 
XJ         DX         YES        15964      199        171        rog        10.170.149.1 
TJ         DX         YES        5286       199        129        rog        10.170.148.1 
JX         LT         YES        17220      198        190        rog        10.170.159.2 
GS         LT         YES        17096      198        196        rog        10.170.142.2 
NMG        DX         YES        6292       202        112        rog        10.170.135.1 
NX         LT         YES        8231       198        190        rog        10.170.139.2 
SD         DX         YES        16918      199        191        rog        10.170.154.1 
SX         DX         YES        7051       198        150        rog        10.170.140.1 
JL         DX         NO         7051       199        NULL       rog        10.170.147.1 
QH         DX         NO         7051       199        NULL       rog        10.170.144.1 
BJ         DX         YES        16367      201        170        rog        10.170.128.1 
YN         LT         NO         16367      198        NULL       rog        10.170.156.2 
LN         DX         YES        6983       199        126        rog        10.170.143.1 
SC         DX         YES        9075       0          183        rog        10.170.138.1 
XZ         DX         YES        6622       199        114        rog        10.170.136.1 
SH         LT         YES        6300       200        122        rog        10.170.130.2 
JS         DX         YES        7020       0          120        rog        10.170.150.1 
